LN46_0.75_1_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_1_0.5mL_s_0.5mL_Ti_0h_r,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_0h_r,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_0h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
733.0115356,0.01858512498,733.0115356,-0.0002449157182,733.0115356,0.003766228212,733.0115356,-0.00279505807,733.0115356,0.005458538886,733.0115356,-0.004955087788,
732.0174561,0.01764360443,732.0174561,-4.260621427E-005,732.0174561,0.003687927267,732.0174561,-0.002800767776,732.0174561,0.005379696377,732.0174561,-0.004921509419,
730.9875488,0.01705453917,730.9875488,3.712206671E-005,730.9875488,0.003914148547,730.9875488,-0.002191764535,730.9875488,0.005995615851,730.9875488,-0.004375086166,
729.9928589,0.0162091013,729.9928589,-1.299456198E-005,729.9928589,0.003310483648,729.9928589,-0.002516061766,729.9928589,0.005626205821,729.9928589,-0.004474557005,
728.9976807,0.01511106268,728.9976807,0.0002660079917,728.9976807,0.003473095829,728.9976807,-0.002350236056,728.9976807,0.005699637812,728.9976807,-0.004577385727,
728.0023193,0.01434962731,728.0023193,0.0001634488726,728.0023193,0.003463075962,728.0023193,-0.002195576439,728.0023193,0.005825917702,728.0023193,-0.004488494247,
727.0065308,0.01419040747,727.0065308,0.0002606722701,727.0065308,0.003754870035,727.0065308,-0.002003346803,727.0065308,0.005887942854,727.0065308,-0.004274567589,
726.010437,0.01408948097,726.010437,0.0004957920755,726.010437,0.003674116917,726.010437,-0.00209182105,726.010437,0.006324915681,726.010437,-0.004099052399,
725.0139771,0.01353808772,725.0139771,0.0007930413703,725.0139771,0.003846711246,725.0139771,-0.001679543173,725.0139771,0.005665962584,725.0139771,-0.004081820138,
724.0171509,0.01339681167,724.0171509,0.0008972537471,724.0171509,0.00359760737,724.0171509,-0.001654323656,724.0171509,0.006259493064,724.0171509,-0.003911716864,
722.984436,0.01279198658,722.984436,0.0007331395755,722.984436,0.003350263694,722.984436,-0.001845006598,722.984436,0.006167376414,722.984436,-0.00414859131,
721.9869385,0.0126800565,721.9869385,0.0007326728664,721.9869385,0.003316978691,721.9869385,-0.002008757787,721.9869385,0.006454792805,721.9869385,-0.004140642937,
720.9890747,0.01229099184,720.9890747,0.0009546097717,720.9890747,0.003074513283,720.9890747,-0.001346311183,720.9890747,0.006228899118,720.9890747,-0.003845935455,
719.9909058,0.01144076139,719.9909058,0.0009233496967,719.9909058,0.002872362267,719.9909058,-0.001753181918,719.9909058,0.0066599329,719.9909058,-0.00377490907,
718.9923096,0.0109730456,718.9923096,0.001010338776,718.9923096,0.002738029463,718.9923096,-0.001535581541,718.9923096,0.006212828215,718.9923096,-0.004030785989,
717.9935913,0.01031127572,717.9935913,0.0009504330228,717.9935913,0.002411411144,717.9935913,-0.001561014331,717.9935913,0.006015432067,717.9935913,-0.003771110903,
716.9943848,0.009949699044,716.9943848,0.0008967350004,716.9943848,0.002469774568,716.9943848,-0.001432081335,716.9943848,0.006380050909,716.9943848,-0.003655923996,
715.994812,0.009535313584,715.994812,0.001095269225,715.994812,0.002682911698,715.994812,-0.001038751449,715.994812,0.006280712783,715.994812,-0.003618343035,
714.9949341,0.008522604592,714.9949341,0.001170067349,714.9949341,0.002500573406,714.9949341,-0.001210034941,714.9949341,0.006665084977,714.9949341,-0.003674661973,
713.994751,0.008308878168,713.994751,0.001084784977,713.994751,0.002504530828,713.994751,-0.0009872550145,713.994751,0.006608310156,713.994751,-0.003710749326,
