LN46_0.75_1_0.5mL_s_0.5mL_Ti_2h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_2h,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_2h,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_2h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
713.994751,0.01673182845,713.994751,-0.0003869780921,713.994751,0.001007380895,713.994751,-0.001268731896,
712.9941406,0.01689429767,712.9941406,-0.0007294748793,712.9941406,0.000503022573,712.9941406,-0.001672580955,
711.9932861,0.01661543734,711.9932861,-0.0005345267709,711.9932861,0.0006776535884,711.9932861,-0.001240855665,
710.9921265,0.01662355848,710.9921265,-0.001113738166,710.9921265,0.000478351285,710.9921265,-0.001427437179,
709.9904785,0.0168723911,709.9904785,-0.0003763224231,709.9904785,0.0008300756454,709.9904785,-0.001352710999,
708.9885864,0.01736496203,708.9885864,-0.0008908573072,708.9885864,0.0006748535088,708.9885864,-0.001150142401,
707.9863892,0.01710701548,707.9863892,-0.0006176657043,707.9863892,0.000812284241,707.9863892,-0.001224283944,
706.9838257,0.01673831232,706.9838257,-0.0005097061512,706.9838257,0.001006343053,706.9838257,-0.001025064383,
706.0167236,0.01673739776,706.0167236,-0.0002384995896,706.0167236,0.001263051061,706.0167236,-0.0008539146511,
705.0135498,0.01696233824,705.0135498,-0.000527235854,705.0135498,0.0008235140122,705.0135498,-0.0009226305992,
704.0099487,0.01682128944,704.0099487,-0.0006501827738,704.0099487,0.0009648833075,704.0099487,-0.0008943188586,
703.0061035,0.01681332476,703.0061035,-0.0005183418398,703.0061035,0.0004289610661,703.0061035,-0.001024806174,
702.0018311,0.01714355499,702.0018311,-0.0002742528741,702.0018311,0.001277537667,702.0018311,-0.0008245132631,
700.9973755,0.01726725325,700.9973755,-0.0001468004048,700.9973755,0.001176815946,700.9973755,-0.0007954199682,
699.9924927,0.01736280695,699.9924927,-0.0001744881447,699.9924927,0.001299372525,699.9924927,-0.000926763576,
698.9872437,0.01739551499,698.9872437,-0.0003247474669,698.9872437,0.001017992967,698.9872437,-0.000820379355,
698.0175781,0.0177701693,698.0175781,-0.0006992897252,698.0175781,0.0008720931946,698.0175781,-0.00107299292,
