LN46_0.75_1_0.5mL_s_0.5mL_Ti_1h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_1h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_1h_r,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_1h,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_1h_r,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_1h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
746.9972534,0.004599878099,746.9972534,0.01967769116,746.9972534,-0.04759049416,746.9972534,0.01613263413,746.9972534,0.01670896262,746.9972534,-0.003998212982,
746.0082397,0.00504307216,746.0082397,0.01928520575,746.0082397,-0.04748817533,746.0082397,0.01675520837,746.0082397,0.01626244187,746.0082397,-0.004103668034,
744.9833984,0.005009474233,744.9833984,0.01998910122,744.9833984,-0.0475874804,744.9833984,0.01726733521,744.9833984,0.01636618748,744.9833984,-0.003629175946,
743.9935913,0.004608930089,743.9935913,0.01978401653,743.9935913,-0.04765697941,743.9935913,0.01794217341,743.9935913,0.01612771861,743.9935913,-0.003796053817,
743.003418,0.005275870208,743.003418,0.01965328865,743.003418,-0.04735286906,743.003418,0.01869331673,743.003418,0.01723078452,743.003418,-0.003475741716,
742.0129395,0.004953622352,742.0129395,0.02017003857,742.0129395,-0.04746905342,742.0129395,0.01896626875,742.0129395,0.0171810668,742.0129395,-0.004078024533,
740.9866333,0.005070309155,740.9866333,0.02016529255,740.9866333,-0.04716077074,740.9866333,0.02010550536,740.9866333,0.01664986461,740.9866333,-0.003319530049,
739.9954224,0.005454738159,739.9954224,0.01988673583,739.9954224,-0.04711367562,739.9954224,0.02015574835,739.9954224,0.01750944927,739.9954224,-0.003338539507,
739.0037842,0.00517987553,739.0037842,0.01952381805,739.0037842,-0.04693480581,739.0037842,0.02102469839,739.0037842,0.01717210002,739.0037842,-0.003498339094,
738.0119019,0.005168479867,738.0119019,0.01945778355,738.0119019,-0.04715905339,738.0119019,0.02156786621,738.0119019,0.01698220335,738.0119019,-0.003739545355,
736.9841919,0.005069785286,736.9841919,0.02046435326,736.9841919,-0.04646694288,736.9841919,0.02261492983,736.9841919,0.0171950981,736.9841919,-0.00345011265,
735.9914551,0.004943227861,735.9914551,0.01966967434,735.9914551,-0.04670077562,735.9914551,0.02343108505,735.9914551,0.01688740775,735.9914551,-0.00381293823,
734.9985352,0.005081439856,734.9985352,0.01981652901,734.9985352,-0.04601743072,734.9985352,0.02426106855,734.9985352,0.01722434722,734.9985352,-0.003600578057,
734.005188,0.005170366261,734.005188,0.0204858724,734.005188,0.01029759739,734.005188,0.02486169524,734.005188,0.01692909747,734.005188,-0.003775781486,
733.0115356,0.005506276153,733.0115356,0.01995711774,733.0115356,0.008308930323,733.0115356,0.02569310181,733.0115356,0.01722817123,733.0115356,-0.003447082359,
732.0174561,0.005466455594,732.0174561,0.0204152409,732.0174561,-0.0007051305147,732.0174561,0.02581126615,732.0174561,0.01765347086,732.0174561,-0.003215220757,
730.9875488,0.005749526434,730.9875488,0.02010973543,730.9875488,-0.0008209994412,730.9875488,0.02649476193,730.9875488,0.01752982475,730.9875488,-0.003101222683,
729.9928589,0.006076670717,729.9928589,0.02048896439,729.9928589,-0.0006514234119,729.9928589,0.02634098381,729.9928589,0.01794584095,729.9928589,-0.003004059196,
728.9976807,0.005871858448,728.9976807,0.02076432481,728.9976807,-0.0009136929875,728.9976807,0.02628859133,728.9976807,0.01776340045,728.9976807,-0.003082151525,
728.0023193,0.005946644116,728.0023193,0.02068330534,728.0023193,-0.001613835339,728.0023193,0.02552379295,728.0023193,0.01825924963,728.0023193,-0.00299501,
727.0065308,0.006415489595,727.0065308,0.02130409516,727.0065308,-0.001497197547,727.0065308,0.02457400225,727.0065308,0.01843436435,727.0065308,-0.002623626729,
726.010437,0.006106256042,726.010437,0.02129727043,726.010437,-0.001892844564,726.010437,0.02450067736,726.010437,0.01886503771,726.010437,-0.002340400824,
725.0139771,0.0065205344,725.0139771,0.02113833837,725.0139771,-0.002308216179,725.0139771,0.02344439179,725.0139771,0.01795560867,725.0139771,-0.0026421519,
724.0171509,0.005935044959,724.0171509,0.0212395303,724.0171509,-0.001996956533,724.0171509,0.02339636162,724.0171509,0.01834870316,724.0171509,-0.002679663245,
722.984436,0.00629239995,722.984436,0.02101722732,722.984436,-0.00205281633,722.984436,0.02247481421,722.984436,0.01831724495,722.984436,-0.002241933718,
721.9869385,0.006388142239,721.9869385,0.0211777743,721.9869385,-0.002116757678,721.9869385,0.02205315791,721.9869385,0.01821346581,721.9869385,-0.002454701811,
720.9890747,0.005846644286,720.9890747,0.0213295985,720.9890747,-0.002059205668,720.9890747,0.02088832669,720.9890747,0.01868472435,720.9890747,-0.002142671496,
719.9909058,0.00693465583,719.9909058,0.02218305692,719.9909058,-0.001688361983,719.9909058,0.02116323262,719.9909058,0.01860501058,719.9909058,-0.001793708885,
718.9923096,0.006487898994,718.9923096,0.02216022834,718.9923096,-0.00155668112,718.9923096,0.02024526708,718.9923096,0.01890978403,718.9923096,-0.002154108137,
717.9935913,0.006585234776,717.9935913,0.02214884199,717.9935913,-0.001304245554,717.9935913,0.02024480514,717.9935913,0.01892600581,717.9935913,-0.001641842304,
716.9943848,0.006830194499,716.9943848,0.02162156999,716.9943848,-0.001658398076,716.9943848,0.01976662315,716.9943848,0.01833015122,716.9943848,-0.001740445616,
715.994812,0.006722156424,715.994812,0.02145106904,715.994812,-0.002036842518,715.994812,0.01961458661,715.994812,0.01847979426,715.994812,-0.00220062444,
714.9949341,0.006772767287,714.9949341,0.02201350592,714.9949341,-0.001626317506,714.9949341,0.01948661543,714.9949341,0.01903182268,714.9949341,-0.001684339368,
713.994751,0.007029645145,713.994751,0.02239617333,713.994751,-0.001260369201,713.994751,0.0197757259,713.994751,0.01885508932,713.994751,-0.001835520845,
712.9941406,0.00731947599,712.9941406,0.02249937691,712.9941406,-0.001035084366,712.9941406,0.01911956817,712.9941406,0.0195610486,712.9941406,-0.00139673287,
711.9932861,0.007097631227,711.9932861,0.02204517648,711.9932861,-0.001417735824,711.9932861,0.01815821044,711.9932861,0.01905740984,711.9932861,-0.001563799917,
710.9921265,0.00718049705,710.9921265,0.02222825401,710.9921265,-0.001566121355,710.9921265,0.01780099422,710.9921265,0.01943585463,710.9921265,-0.001541256323,
709.9904785,0.006962037645,709.9904785,0.02244204655,709.9904785,-0.001099278918,709.9904785,0.01796448417,709.9904785,0.01918097772,709.9904785,-0.001499003265,
708.9885864,0.006708486006,708.9885864,0.02246889845,708.9885864,-0.002064100699,708.9885864,0.01737350225,708.9885864,0.01889531873,708.9885864,-0.002125000814,
707.9863892,0.007010098547,707.9863892,0.02274677157,707.9863892,-0.001525366795,707.9863892,0.01720447093,707.9863892,0.0191027429,707.9863892,-0.001860626624,
706.9838257,0.007189550437,706.9838257,0.02270244621,706.9838257,-0.001206679037,706.9838257,0.01712726429,706.9838257,0.0190548934,706.9838257,-0.001454630634,
706.0167236,0.006906092167,706.0167236,0.02311163023,706.0167236,-0.001423670212,706.0167236,0.01727956347,706.0167236,0.01955530792,706.0167236,-0.001239203732,
705.0135498,0.007086921949,705.0135498,0.0223362688,705.0135498,-0.001301768003,705.0135498,0.01618991606,705.0135498,0.01946133003,705.0135498,-0.001437809085,
704.0099487,0.006982082035,704.0099487,0.02301870845,704.0099487,-0.0008243065677,704.0099487,0.01655705087,704.0099487,0.01985459775,704.0099487,-0.001189641422,
703.0061035,0.007635660004,703.0061035,0.02305703238,703.0061035,-0.0008119563572,703.0061035,0.01637744904,703.0061035,0.01944901235,703.0061035,-0.001256032963,
702.0018311,0.007293782663,702.0018311,0.02265149914,702.0018311,-0.001087556244,702.0018311,0.01517844945,702.0018311,0.01937172934,702.0018311,-0.001586239203,
700.9973755,0.006268422119,700.9973755,0.02219169401,700.9973755,-0.00122722669,700.9973755,0.01483843289,700.9973755,0.01857869513,700.9973755,-0.001961447997,
699.9924927,0.007378239185,699.9924927,0.0225034114,699.9924927,-0.001012358349,699.9924927,0.01500483043,699.9924927,0.01919255778,699.9924927,-0.001392191509,
698.9872437,0.007322529797,698.9872437,0.02290165611,698.9872437,-0.0009047035128,698.9872437,0.01596567035,698.9872437,0.01956332289,698.9872437,-0.001505761989,
698.0175781,0.007785747759,698.0175781,0.0230697263,698.0175781,-0.000780278293,698.0175781,0.01548715774,698.0175781,0.0203170348,698.0175781,-0.001006366801,
697.0117798,0.007583236787,697.0117798,0.02257926203,697.0117798,-0.0005244435742,697.0117798,0.01539330464,697.0117798,0.02011629753,697.0117798,-0.001457262086,
696.0056152,0.007411994971,696.0056152,0.02268842794,696.0056152,-0.001418251893,696.0056152,0.01449359674,696.0056152,0.02009089291,696.0056152,-0.001408859971,
694.9990845,0.007561399601,694.9990845,0.02332361788,694.9990845,-0.0006804746808,694.9990845,0.01497157756,694.9990845,0.01998592913,694.9990845,-0.0006187513936,
693.9921875,0.007668987848,693.9921875,0.02259003371,693.9921875,-0.001047789818,693.9921875,0.01392853912,693.9921875,0.02033282258,693.9921875,-0.001028679893,
692.9850464,0.007178734057,692.9850464,0.02268608287,692.9850464,-0.001001253142,692.9850464,0.01380415726,692.9850464,0.01929483935,692.9850464,-0.00114787044,
692.0135498,0.007640797645,692.0135498,0.02331602573,692.0135498,-0.0007506652037,692.0135498,0.01383438054,692.0135498,0.01987410896,692.0135498,-0.001211996772,
691.0057373,0.007677313872,691.0057373,0.0231212955,691.0057373,-0.0003329729661,691.0057373,0.01402060594,691.0057373,0.01990979724,691.0057373,-0.0005759948399,
689.9975586,0.0073477244,689.9975586,0.02289655246,689.9975586,-0.0007169152377,689.9975586,0.01370348036,689.9975586,0.01925622486,689.9975586,-0.001368039171,
688.9891357,0.007522364613,688.9891357,0.02310262062,688.9891357,-0.0007081284421,688.9891357,0.01353165135,688.9891357,0.02037093788,688.9891357,-0.001047015074,
688.0162964,0.007509801537,688.0162964,0.02281554416,688.0162964,-0.001130830497,688.0162964,0.01324231736,688.0162964,0.01984497905,688.0162964,-0.0008949388866,
687.0072021,0.007487625815,687.0072021,0.0233521089,687.0072021,-0.000952438626,687.0072021,0.01313704811,687.0072021,0.01995264553,687.0072021,-0.001227588044,
685.9978027,0.007992255501,685.9978027,0.02351589873,685.9978027,-0.0002134032547,685.9978027,0.01320783794,685.9978027,0.02018845081,685.9978027,-0.0003419225395,
