LN46_0.75_1_0.5mL_s_0.5mL_Ti_2mL_H2O_DF6_6h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_2mL_H2O_DF6_6h,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_2mL_H2O_DF6_6h,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_2mL_H2O_DF6_6h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
721.9869385,-0.0006592809223,721.9869385,0.0003719853121,721.9869385,-0.0007822937914,721.9869385,0.0002881805412,
720.9890747,-0.0009624086088,720.9890747,-4.742050442E-005,720.9890747,-0.0008335044258,720.9890747,-0.0002023811103,
719.9909058,-0.0009323946433,719.9909058,-0.0001858214964,719.9909058,-0.001279417193,719.9909058,-0.0001702445297,
718.9923096,-0.001008381136,718.9923096,0.0001271445944,718.9923096,-0.0009956746362,718.9923096,-0.000367063185,
717.9935913,-0.000715674716,717.9935913,0.0002401328529,717.9935913,-0.001028989791,717.9935913,-0.0002731146233,
716.9943848,-0.000811491278,716.9943848,-1.547953252E-005,716.9943848,-0.001046601916,716.9943848,-0.0002785989491,
715.994812,-0.0009961394826,715.994812,0.0006086689536,715.994812,-0.001095250947,715.994812,0.000153297864,
714.9949341,-0.001100415015,714.9949341,0.0002589368669,714.9949341,-0.0009194275481,714.9949341,-8.272367268E-005,
713.994751,-0.0006954647833,713.994751,0.0002175224799,713.994751,-0.001084664254,713.994751,-0.0001947741112,
712.9941406,-0.0004996223142,712.9941406,0.0002680801554,712.9941406,-0.0006416530814,712.9941406,-0.0003459575528,
711.9932861,-0.000689830631,711.9932861,0.0005842249375,711.9932861,-0.000652405608,711.9932861,6.412428047E-005,
710.9921265,-0.0008314891602,710.9921265,0.0003945259959,710.9921265,-0.0009779054672,710.9921265,-2.4435667E-005,
709.9904785,-0.0009706736892,709.9904785,0.0003874786489,709.9904785,-0.0008811440202,709.9904785,0.0001440275228,
708.9885864,-0.0004876248713,708.9885864,0.0007894366281,708.9885864,-0.0005879381206,708.9885864,0.0001832077542,
707.9863892,-0.0005055174697,707.9863892,0.000657846278,707.9863892,-0.0009743929259,707.9863892,1.571306711E-005,
706.9838257,-0.000400633493,706.9838257,0.0001828710956,706.9838257,-0.0006987211527,706.9838257,-0.0001563231053,
706.0167236,-0.001067725127,706.0167236,0.0001717873674,706.0167236,-0.000821257825,706.0167236,-0.0001489223214,
705.0135498,-0.0006763393758,705.0135498,0.0003628398408,705.0135498,-0.0008482308476,705.0135498,-3.023375939E-005,
704.0099487,-0.0004341494641,704.0099487,0.0001543336693,704.0099487,-0.001037976705,704.0099487,3.220333747E-005,
703.0061035,-0.0005284768995,703.0061035,0.0004954811302,703.0061035,-0.0009143645875,703.0061035,0.0003433318343,
702.0018311,-0.0006572131533,702.0018311,0.0005463043926,702.0018311,-0.0004065300163,702.0018311,0.0001992900216,
700.9973755,-0.0005024665152,700.9973755,0.0006563944626,700.9973755,-0.000564516522,700.9973755,0.0003791101044,
699.9924927,-0.0006230422878,699.9924927,0.0005194536061,699.9924927,-0.0005493151257,699.9924927,0.0001360261813,
