LN46_0.75_1_0.5mL_s_0.5mL_Ti_0h_r,Unnamed: 3
Wavelength (nm),Abs
445.0137329,0.007368339691
444.0186462,0.007218790706
442.985199,0.007537772879
441.9897461,0.007451863028
440.9941711,0.007510196418
439.9983826,0.007873358205
439.0024414,0.007742002141
438.0062866,0.008050688542
437.0099182,0.008046047762
436.0134277,0.008039428852
435.0168152,0.008206037804
433.9815674,0.008196013048
432.9845581,0.008411214687
431.9873657,0.008518565446
430.9900208,0.008571735583
429.9924316,0.008611974306
428.9946899,0.008888833225
427.9967957,0.008975873701
426.9986877,0.009075274691
426.0004272,0.009145512246
425.0020142,0.009067742154
424.003418,0.0093812868
423.0046082,0.009515362792
422.0056763,0.0096560698
421.0065918,0.009887699969
420.0072632,0.01016728207
419.007782,0.0100929318
418.0081177,0.01030918118
417.0083923,0.01051641535
416.0083923,0.01073428243
415.0082397,0.01112508867
414.0079041,0.01146438811
413.0074158,0.01184686087
412.0067749,0.01194034982
411.0059509,0.01262142416
410.0049133,0.0128763197
409.0038147,0.01346339844
408.0025024,0.0141046159
407.0009766,0.01484877151
405.9993286,0.01579538733
404.9975586,0.01676973701
403.9955139,0.01772279106
402.9933777,0.01915457286
401.9910889,0.02036944591
400.9886169,0.02241844125
399.9859619,0.02432397753
398.9831543,0.0269530341
398.0187683,0.03000072017
397.015625,0.03294576705
396.0123596,0.03709848225
395.0088806,0.04181880504
394.0052795,0.04742825776
393.0015259,0.05354340002
391.9975891,0.0613518022
390.9935303,0.06965915859
389.9892578,0.07958756387
388.9848633,0.09185069799
388.0189209,0.1044282168
387.0142212,0.1201743707
386.0093384,0.1373873055
385.0043335,0.1580854952
383.999115,0.1819921136
382.9937744,0.2066855729
381.9882507,0.237076059
380.9826355,0.2742407918
380.0155029,0.3131580353
379.0095215,0.3596220016
378.0034485,0.4132677019
376.9971313,0.4678463638
375.9907227,0.5286266804
374.9841614,0.6004843712
374.0161438,0.6784858108
373.0092468,0.766430378
372.0022278,0.8659567833
370.9950562,0.9681699872
369.9877319,1.081502557
369.0190125,1.214808583
368.0113831,1.35384798
367.0036011,1.51301074
365.9956665,1.675219417
364.9876099,1.859321952
364.018158,2.043832064
363.0097656,2.266153097
362.0012512,2.477784157
